iterations,test-Accuracy-mean,test-Accuracy-std,train-Accuracy-mean,train-Accuracy-std,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
0,0.40867821985233793,0.030210088621582577,0.4878080963027253,0.012918257630719342,1.0953589825747223,0.00023365448522614008,1.0939710568654397,8.327508449989985e-05
1,0.3811777315520137,0.023154800216438103,0.5171831176650821,0.011168315347052343,1.0926833956537085,0.0005354189932451418,1.0893954906489594,0.0003585014226823618
2,0.38119365014258366,0.03334133373340566,0.532503445442982,0.013387300576442811,1.089186874948117,0.0006294643703496474,1.0850021737045377,0.0003199300873484944
3,0.40866298488222197,0.039618178329987076,0.5559336555387098,0.008879485015617888,1.086564392983344,0.0008859234349636882,1.0800198950741398,0.0002996238418179025
4,0.4073890093363022,0.04256439438356505,0.5631260520960745,0.013955378193323618,1.083872590314506,0.0008207713442242614,1.0757720302270348,0.000547362054092577
5,0.3924513164576741,0.017064180300816332,0.5831304565562905,0.012629661750037706,1.0813956566779315,0.0005269605537198943,1.0710925938403435,0.0007613594801914209
6,0.392459373413024,0.017744764347948395,0.5871900329651684,0.01340300918809606,1.0793301732706326,0.0008967782691696176,1.066860208761928,0.0005537171748511903
7,0.37994345482245395,0.02440208207636006,0.5831250877382512,0.01270146625994714,1.0764058429357424,0.0009758973797740786,1.0634198425647174,0.00117235673019383
8,0.388701414117739,0.026812257526845792,0.5931163093354721,0.012372905019762922,1.0742855083868832,0.0013155316515965963,1.059695131389711,0.001501989827585908
9,0.3911779268721434,0.026112703537749818,0.5965552734198569,0.009118193126497934,1.0721069967997863,0.001989870338020102,1.0557316455126475,0.0015579412898268762
10,0.3836703582171178,0.030661095346853354,0.5999961952116581,0.00604136180324582,1.0700814687839761,0.0019109593085350097,1.051892005468659,0.001828787203533149
11,0.402397066291652,0.03332715692510823,0.6043668090620338,0.013101462600367,1.0676889292811045,0.002004043658751509,1.0481399368002595,0.002133401717783761
12,0.39367065119731237,0.03756617001084169,0.6096797935297693,0.010793807812866403,1.0659969118582562,0.002255405572937342,1.0442634694715274,0.002120580994782366
13,0.4024362768076878,0.03242321434032732,0.6202999213865269,0.01509562836569791,1.0638941725165107,0.0026343780183769056,1.0407614511008425,0.001974028030049453
14,0.39868617914762294,0.03327676333728546,0.6190587074187193,0.007009778656981677,1.062116283905454,0.002577666079768891,1.037583016137795,0.0018342896486608722
15,0.3936705535372476,0.043161453046574864,0.6159297965815346,0.009970778447560152,1.060645871550062,0.0028454455456428224,1.034795031217844,0.0022394458510954663
16,0.38490483026680733,0.049637858672163304,0.6196812652435674,0.008867265008415557,1.059069256204431,0.002994081814040441,1.031806118859895,0.0027064185900719058
17,0.3924283175124029,0.03959358637873454,0.6262471855094861,0.009913190749793408,1.0575882940124528,0.002991972943006925,1.0282643224517476,0.0027441821362432575
